Open,High,Low,Close,Volume,MarketCap,Date
0.06183332,0.06634905,0.05261677,0.05816341,75.42,194510.84,"2010-07-13"
0.07879913,0.08360209,0.06903579,0.07416855,573.24,256302.41,"2010-07-19"
0.06976299,0.07825864,0.06472816,0.06895142,1555.03,242332.21,"2010-07-25"
0.06970508,0.07158763,0.05164856,0.06046468,2595.17,216655.53,"2010-08-01"
0.06115977,0.067016,0.05067227,0.05964825,2625.28,217398.49,"2010-08-07"
0.06290812,0.0667319,0.05325986,0.06299919,4404.59,234424.72,"2010-08-14"
0.06994254,0.07134897,0.05853218,0.06581428,4171.63,248006.31,"2010-08-20"
0.06946493,0.07358336,0.05874443,0.06647771,8983.94,255192.98,"2010-08-27"
0.06252651,0.06697775,0.05055178,0.06260652,8145.96,243393.16,"2010-09-02"
0.0599086,0.0627864,0.04868664,0.06052719,1736.18,238723.78,"2010-09-09"
0.06080235,0.08798316,0.05730564,0.08017105,3660.94,320437.68,"2010-09-15"
0.0601967,0.06785769,0.05927085,0.06167253,11538.45,250885.4,"2010-09-22"
0.0609233,0.06640338,0.05602733,0.06121943,7092.92,253063.91,"2010-09-28"
0.06045428,0.0746667,0.05620154,0.06092854,33882.93,254420.83,"2010-10-04"
0.11345086,0.12391423,0.10179655,0.11767041,14122.2,497862.04,"2010-10-11"
0.10194793,0.13183186,0.0981136,0.10547627,18151.31,452814.47,"2010-10-17"
0.11000634,0.15888465,0.11000634,0.12712502,13862.21,555211.38,"2010-10-24"
0.19008669,0.21158316,0.17863112,0.19357477,26586.5,858518.63,"2010-10-30"
0.24713548,0.35457746,0.23541575,0.32784901,32714.61,1476306.83,"2010-11-06"
0.23283656,0.27296145,0.20652011,0.2584812,40766.91,1181070.61,"2010-11-12"
0.27888182,0.32309334,0.26455084,0.28651184,2151.83,1331069.55,"2010-11-19"
0.28655238,0.29316179,0.24392343,0.28,1677.21,1313652.67,"2010-11-25"
0.24818038,0.27274432,0.21980882,0.24036115,20401.71,1143692.44,"2010-12-02"
0.23111195,0.27749873,0.22390633,0.23698327,3430.51,1143924.17,"2010-12-08"
0.2299656,0.27753358,0.21564682,0.2408912,10447.09,1175133.52,"2010-12-14"
0.26518131,0.30390187,0.24115804,0.26736488,9250.15,1320739.62,"2010-12-21"
0.26037419,0.29789821,0.23250033,0.26933414,4941.16,1343068.36,"2010-12-27"
0.30013702,0.33838646,0.27784764,0.29734758,1427.5,1500259.79,"2011-01-03"
0.32168196,0.39770308,0.31075822,0.32166037,1684.41,1637934.82,"2011-01-09"
0.39888188,0.41416322,0.34785988,0.39097345,2774.79,2014363.64,"2011-01-16"
0.38759435,0.44888446,0.36753511,0.4435984,10503.75,2308031.39,"2011-01-22"
0.44597558,0.49479067,0.41941445,0.44897797,1448.82,2362353.72,"2011-01-29"
0.72606859,0.83729487,0.6480998,0.80887019,42195.52,4296455.57,"2011-02-04"
0.9799584,1.10954663,0.84364295,1.0754629,13334.61,5781984.31,"2011-02-11"
1.06373113,1.27702966,1.01031423,1.04889086,4002.65,5706149.84,"2011-02-17"
0.87632091,0.9181206,0.75515674,0.89467964,6725.49,4921744.54,"2011-02-23"
0.94020426,1.01486764,0.79918279,0.9418121,2752.12,5246862.68,"2011-03-02"
0.88752454,0.97493366,0.78149505,0.88751374,4534.77,5004623.42,"2011-03-08"
0.90648269,0.96205689,0.75670895,0.89949294,2733.6,5111795.9,"2011-03-15"
0.81061723,1.01259573,0.762962,0.77856454,3709.93,4455588.62,"2011-03-21"
0.88722045,1.09275459,0.84995645,0.87429308,12616.94,5049326.69,"2011-03-28"
0.78703583,0.88401961,0.74360001,0.79080229,3926.55,4608696.9,"2011-04-03"
0.73792301,0.83710766,0.70287994,0.7620198,5359.6,4485205.68,"2011-04-10"
0.98072591,1.21008554,0.94028874,1.06664687,28903.97,6331002.5,"2011-04-16"
1.33104621,1.81411172,1.33104621,1.45132267,66554.74,8695563.5,"2011-04-23"
2.1483243,3.40887871,2.1483243,2.82050043,57562.8,17053521.24,"2011-04-29"
3.50772212,4.11198915,3.31249409,3.43227823,15386.82,20954316.02,"2011-05-05"
5.47509072,6.3548404,5.12978244,6.2250464,31614.41,38450710.98,"2011-05-12"
8.22491524,8.60245675,6.80754376,7.30722378,25438.6,45668869.87,"2011-05-18"
7.40153959,7.7315768,6.43938431,7.72425478,64388.9,48953043.99,"2011-05-25"
8.6829238,9.38351095,7.47886012,8.77542347,45783.82,56098430.24,"2011-05-31"
18.93026088,26.45809461,18.93026088,21.07071553,53771.31,136187935.99,"2011-06-07"
26.47853496,26.47853496,17.45587474,20.94687756,73441.09,136794107.58,"2011-06-13"
17.56385393,19.22920397,15.13023286,18.2203525,0,120396900.76,"2011-06-20"
17.13772614,19.80583449,16.3496301,17.19359963,15044.92,114696353.94,"2011-06-26"
16.51853297,16.51853297,13.14260659,15.75357991,16796.92,106034589.5,"2011-07-03"
15.4250133,16.21147811,12.28034566,15.02847128,11888.28,101838557.08,"2011-07-09"
14.08834829,14.816319,12.76055448,14.02906501,24806.94,95720661.29,"2011-07-15"
13.8488476,14.59559912,11.91691242,13.8905705,15204.32,95532745.88,"2011-07-22"
13.95170335,15.25816866,11.24414815,13.49253603,32676.15,93457737.38,"2011-07-28"
12.17711547,13.88530708,11.45144112,12.3242663,50257.97,86040940.86,"2011-08-04"
9.77741153,11.49477771,9.38343557,10.11750593,24257.3,71050438.34,"2011-08-10"
11.53320233,13.46124006,10.88840479,11.26718219,22864.02,79654752.89,"2011-08-17"
11.23728678,11.84848843,9.97048823,11.48200128,12850.1,81696448.46,"2011-08-23"
9.45018704,11.71005585,8.89804383,9.37807863,11766.49,67166502.51,"2011-08-30"
8.36284254,9.96463095,7.13757001,7.97080803,30695.96,57436247.78,"2011-09-05"
6.27853708,7.32101008,5.62559637,6.6367602,63914.41,48142228.9,"2011-09-12"
5.07406728,5.39732043,4.41157443,5.09527905,44830.37,37178340.5,"2011-09-18"
5.6919291,6.60706214,5.42862701,5.69775453,17869.08,41808840.75,"2011-09-24"
5.09663182,5.90192061,4.818171,5.27339399,23541.42,38943069.8,"2011-10-01"
4.77461522,4.89386973,3.62393404,4.34735352,97786.96,32275948.06,"2011-10-07"
4.05829383,4.44986395,3.43250146,4.14848155,20047.16,30969011.12,"2011-10-14"
2.39854317,2.98913862,2.22990969,2.36168035,48780.99,17717621.2,"2011-10-20"
2.86331653,3.14423419,2.46126803,3.01783291,58679.19,22760873.04,"2011-10-27"
3.24654894,3.67444143,3.06923873,3.36237313,32281.54,25487881.1,"2011-11-02"
3.04605956,3.23780047,2.65117544,3.03060088,52496.98,23125075.78,"2011-11-09"
2.51920483,2.9881751,2.34615098,2.76766079,76466.82,21237022.35,"2011-11-15"
2.35439103,2.6729352,1.91631609,2.32116321,34221.91,17918973.78,"2011-11-22"
2.48932774,2.83783095,2.25456918,2.52360811,41446.98,19575565.02,"2011-11-28"
2.96377113,3.58747231,2.68645813,2.90492712,95155.13,22666420.09,"2011-12-04"
3.05142735,3.64529214,2.93240739,3.23884873,108659,25445785.63,"2011-12-11"
3.21281985,3.88636089,3.01655431,3.21996728,16450.98,25425103.15,"2011-12-17"
3.98509466,4.80682043,3.8447479,3.94730687,14902.36,31369362.83,"2011-12-24"
4.17119927,4.48533209,3.50330615,4.31536286,41133.81,34494682.21,"2011-12-30"
6.66976928,6.83915799,5.63733788,6.60205532,219004.42,53131525.66,"2012-01-06"
6.90899323,7.24002682,5.85424688,7.01950113,140331.48,56827950.79,"2012-01-12"
6.73522728,7.08620078,5.57016336,6.69133805,114655.93,54518847.75,"2012-01-19"
6.37146132,7.50862564,5.98815859,6.43097182,133016.82,52687505.16,"2012-01-25"
5.56133991,6.15009355,5.16556953,5.75663494,115133.47,47465973.61,"2012-02-01"
5.7423266,6.17141424,5.269389,5.76721428,72691.62,47812657.45,"2012-02-07"
5.79104575,5.99924377,4.8532302,5.55952187,169219.33,46333472.23,"2012-02-13"
4.41179695,4.67648457,4.01566294,4.37508421,37314.69,36687779.07,"2012-02-20"
5.08531455,5.48238823,4.45115911,5.0288102,70135.27,42400004.62,"2012-02-26"
4.89278012,5.97916832,4.69250983,4.81733627,58950.51,40865102.28,"2012-03-04"
4.87777156,5.27832777,4.43644182,4.86596324,28164.92,41502479.69,"2012-03-10"
5.3463786,5.71884988,4.71936617,5.33953712,39151.63,45819702.68,"2012-03-17"
4.84803295,5.15516931,3.76973721,4.72726595,54044.25,40779592.3,"2012-03-23"
4.8364788,5.13538233,4.2336765,4.85498069,39138.42,42146613.33,"2012-03-30"
4.93055358,6.43552821,4.62376598,4.93233917,33792.01,43019245.7,"2012-04-05"
4.90472675,5.15890739,4.13943154,4.9157707,46307.63,43114627.19,"2012-04-12"
4.9951584,6.14792671,4.86045347,5.11479288,79183.17,45060643.31,"2012-04-18"
5.11352911,5.44213306,4.71672292,5.14921833,35646.03,45622718.06,"2012-04-25"
5.00571075,6.41994581,4.94188764,5,36491.21,44542854.17,"2012-05-01"
5.08458996,6.5498748,5.03344845,5.08906576,46198.56,45583143.7,"2012-05-07"
4.95107574,5.64338027,4.67547414,5.00891328,52922.24,45120228.22,"2012-05-14"
5.10062135,5.67671306,4.74863703,5.12186447,18682.41,46342608.39,"2012-05-20"
5.10560636,5.54483058,4.85164521,5.1443951,15763.53,46783000.43,"2012-05-27"
5.23567066,6.63959804,4.98264755,5.25153455,15164.81,47979507.59,"2012-06-02"
5.64609116,7.07664765,5.42665334,5.60116607,36986.9,51471098.77,"2012-06-09"
5.94817268,6.29178481,5.3371271,6.19853174,65595.58,57247159.74,"2012-06-15"
6.68847997,7.7270405,6.42142048,6.70678887,56515.05,62297852.79,"2012-06-22"
6.50480666,7.36318933,6.19280427,6.59615421,42662.75,61566359.65,"2012-06-28"
6.56396312,6.76204588,5.50480775,6.62879535,45272.14,62211078.64,"2012-07-05"
7.06590386,9.04839593,6.8641583,7.23962058,41913.73,68277042.69,"2012-07-11"
7.97876906,9.57512823,7.784285,8.78482513,211401.91,83260742.42,"2012-07-17"
8.51950151,9.62689566,7.92765839,8.68446087,40883.86,82759655.42,"2012-07-24"
8.72823901,10.1658672,8.44650378,9.04228204,51525.72,86622236.24,"2012-07-30"
11.14427267,12.60413305,10.54358688,11.1625531,51508.48,107506827.97,"2012-08-06"
11.52689281,12.37314159,9.69521642,11.63310004,30372.1,112608626.51,"2012-08-12"
12.85986334,13.25725758,9.77244532,10.65659646,239702.02,103746095.97,"2012-08-19"
10.4501758,11.97738922,9.00567934,10.30088345,40468.21,100776568.68,"2012-08-25"
10.76285932,11.02506503,8.66688723,10.35390474,23296.5,101863526.77,"2012-09-01"
10.94968526,13.36387444,10.71995883,11.14452008,35507.19,110194228.43,"2012-09-07"
11.4385674,14.50442531,11.4385674,11.6137897,43315.87,115442521.35,"2012-09-14"
12.47507906,15.06057241,12.1552449,12.42052067,32576.46,124040013.78,"2012-09-20"
12.25546331,14.81447085,11.57467851,12.26584521,23570.3,123058574.2,"2012-09-26"
12.77905409,15.72264143,11.93617692,12.88819855,32985.21,129981939.55,"2012-10-03"
11.89248142,14.85304275,11.52012338,11.9466825,46903.82,121004437.71,"2012-10-09"
11.86789624,12.64846682,10.7412008,11.90332637,41250.23,121178342.31,"2012-10-16"
11.74277608,11.9799589,9.52428398,11.72711543,37622.47,119921506.82,"2012-10-22"
10.69638249,11.23249375,8.72999032,10.62967463,37635.25,109282356.17,"2012-10-29"
11.00521398,11.84827732,9.81384328,10.63117282,16777.99,109759949.11,"2012-11-04"
10.89232104,11.8175409,9.09503583,10.91202168,12562.44,113232957.78,"2012-11-11"
11.72587835,14.74238049,11.55043775,11.79418768,19050.87,122879882.05,"2012-11-17"
12.355422,13.90411082,11.71033084,12.42471973,19560.83,130100638.08,"2012-11-24"
12.46174322,15.03030852,12.06921413,12.60555385,24354.44,132464674.79,"2012-11-30"
13.34739734,15.18678814,11.83761505,13.44278213,46764.76,141540649.38,"2012-12-06"
13.67600467,16.24362448,13.0156632,13.7881444,24234.19,145501289.66,"2012-12-13"
13.37234159,14.30481638,11.21440073,13.45665339,38831.22,142250114.78,"2012-12-19"
13.4479929,15.03065811,12.65433387,13.46452665,15888.84,142642115.37,"2012-12-26"
13.55402337,15.55188902,13.11076348,13.50148703,28305.24,143356243.7,"2013-01-01"
13.52709152,15.09429126,11.97719279,13.61189428,42802.24,144887554.95,"2013-01-08"
14.30430904,15.38816503,13.09528002,14.30837702,21996.33,152589033.72,"2013-01-14"
15.8082388,17.84015446,14.19561794,16.31208044,61537.2,174324162.14,"2013-01-21"
18.4815877,21.39969815,17.37831433,17.76881716,23836.26,190278933.33,"2013-01-27"
19.63720043,21.30093984,17.93200208,20.72008399,34125.7,222470570.55,"2013-02-03"
22.32985654,28.03948334,22.32985654,23.5390991,38119.66,253283942.95,"2013-02-09"
25.91093475,29.98175594,25.02371308,27.15308398,51691.9,292822506.34,"2013-02-15"
29.82337523,38.71373559,29.2927261,30.2113285,66804.81,326736052.72,"2013-02-22"
30.91942017,34.70765945,26.02968306,32.02815427,126830.64,347227229.24,"2013-02-28"
40.96149436,53.40305387,39.81397714,42,157898.36,456479625,"2013-03-07"
46.5055121,48.50352617,39.63113796,45.74626518,49627.03,498303678.4,"2013-03-13"
52.53731073,71.06669193,52.53731073,63.07642377,93178.76,689137525.63,"2013-03-20"
73.19709763,81.89516138,65.26669894,75.6978879,56618.31,829203180.07,"2013-03-26"
99.56835171,111.16744287,94.30860758,105.68146435,81672.99,1160843513.96,"2013-04-02"
153.78325931,205.42635035,153.78325931,182.51162327,114414.96,2009195174.54,"2013-04-08"
93.27147652,111.64524887,86.17109286,99.51967961,236685.99,1098512114.83,"2013-04-15"
123.03636385,146.09668728,118.57486428,124.27687826,99319.45,1374777236.15,"2013-04-21"
139.41366795,147.40510391,124.43942456,136.70491488,59902.29,1515587582.88,"2013-04-27"
98.0999984741,115,92.5,112.5,0,1250316562.5,"2013-05-04"
112.7990036011,122,111.5510025024,117.1999969482,0,1305479080,"2013-05-10"
118.2099990845,125.3000030518,116.5709991455,123.0149993896,0,1373723881.88,"2013-05-17"
123.8000030518,126.9339981079,123.0999984741,126.6999969482,0,1417769832.5,"2013-05-23"
132.25,132.25,127,128.7989959717,0,1445053940.55,"2013-05-30"
121.4000015259,123.46900177,119.8990020752,121.6500015259,0,1368486468.75,"2013-06-05"
109,111.7870025635,106.7340011597,108.1500015259,0,1219969852.5,"2013-06-12"
101.9499969482,111.111000061,101.0329971313,107.4000015259,0,1214216070,"2013-06-18"
102.0899963379,106.4700012207,101.0100021362,103.9499969482,0,1178086140,"2013-06-25"
97.5100021362,97.6649017334,86.297203064,88.0500030518,0,1000065296.25,"2013-07-01"
68.7490005493,74.5610961914,66.6200027466,74.5610961914,0,848838978.923,"2013-07-07"
98.6999969482,98.6999969482,92.8600006104,94.6912994385,0,1080917760.48,"2013-07-14"
92,93.0999984741,89.2711029053,89.3900985718,0,1022707664.6,"2013-07-20"
96.0201034546,96.9950027466,93,94.1159973145,0,1079491696.8,"2013-07-27"
104.8560028076,108,101.2109985352,104.5009994507,0,1201487184.88,"2013-08-02"
103.0699996948,105.75,101.9349975586,102.8000030518,0,1185307130,"2013-08-09"
112.56199646,113.2450027466,109,109.9899978638,0,1271404657.25,"2013-08-15"
123.3000030518,123.5,120.5999984741,121.1500015259,0,1404437432.5,"2013-08-22"
126.4800033569,127.3199996948,122.6200027466,122.6200027466,0,1424675797.5,"2013-08-28"
136.5299987793,144.5,123.6100006104,126.7399978638,0,1477012117.5,"2013-09-04"
127.2699966431,129.7400054932,125.9000015259,125.9100036621,0,1470679164,"2013-09-10"
130.8600006104,132.7200012207,129.7700042725,131.7200012207,0,1542395098,"2013-09-16"
128.9799957275,132.7250061035,125.6600036621,125.9499969482,0,1479037147.5,"2013-09-23"
134.8999938965,140.6100006104,134.7100067139,137.3399963379,0,1616584504.5,"2013-09-29"
128.3600006104,129.6600036621,126.1500015259,129,0,1522686975,"2013-10-06"
130.8999938965,135.6600036621,130.5599975586,135.1900024414,0,1599426130.5,"2013-10-12"
155.9100036621,177.4799957275,155.6999969482,172.4199981689,0,2046457290.5,"2013-10-19"
197.6900024414,198.8699951172,168.5,186.6900024414,0,2222012383.5,"2013-10-25"
203.8999938965,206.6499938965,202.1300048828,206.1799926758,0,2460742836.5,"2013-11-01"
261.6799926758,304.1700134277,261.549987793,296.4100036621,0,3545560086.75,"2013-11-07"
406.4100036621,425.8999938965,395.1900024414,420.200012207,0,5038817795,"2013-11-14"
577.9799804688,599.6500244141,448.450012207,590.8300170898,0,7100077963.75,"2013-11-20"
923.8499755859,1001.9600219727,891.6799926758,1001.9600219727,0,12069885699,"2013-11-27"
1046.4000244141,1096,1011.2100219727,1078.2800292969,0,13018451838,"2013-12-03"
793.799987793,921.9299926758,780.9000244141,893.1900024414,0,10808715487.5,"2013-12-09"
880.3300170898,882.25,668.25,705.9699707031,0,8565534010,"2013-12-16"
601.7800292969,666.7399902344,585.6400146484,617.1799926758,0,7505757422.5,"2013-12-22"
728.049987793,748.6099853516,714.4400024414,745.049987793,19011300,9082103621.25,"2013-12-29"
823.2700195313,859.5100097656,801.6699829102,859.5100097656,38005000,10477362436.8,"2014-01-04"
867.3200073242,921.4799804688,861.7199707031,913.950012207,44754200,11195636163.8,"2014-01-11"
834.4899902344,842.9099731445,797.6300048828,814.6400146484,39031700,10000663202,"2014-01-17"
822.4299926758,822.4299926758,783.5800170898,797.0700073242,34912000,9810138292.5,"2014-01-24"
826.0200195313,830.5,799.0599975586,819.0300292969,29918200,10100339387.2,"2014-01-30"
815.5900268555,819.8099975586,770.5900268555,781.549987793,50108700,9662791118.75,"2014-02-06"
672.3800048828,672.9000244141,643.0399780273,651.7199707031,25367600,8073458481,"2014-02-12"
627.1599731445,645.7600097656,612.5399780273,626.5999755859,20015100,7779035355,"2014-02-18"
540.2399902344,541.3800048828,420.4100036621,538.7100219727,126314000,6704461434,"2014-02-25"
562.5599975586,702.9099731445,560.5200195313,667.7600097656,96056896,8326933812,"2014-03-03"
636.3300170898,644.7600097656,615.0200195313,627.7899780273,20639800,7846433315,"2014-03-10"
636.5,637.5200195313,628.1099853516,631.1099853516,5277290,7903422085.5,"2014-03-16"
565.7639770508,570.2379760742,560.8779907227,561.2719726563,9288400,7045871924.8,"2014-03-23"
501.7130126953,504.8590087891,489.7340087891,491.1719970703,11147100,6178428029.4,"2014-03-29"
446.674987793,463.5710144043,444.1969909668,461.9070129395,13404500,5824866675.82,"2014-04-05"
363.7099914551,429.766998291,351.2720031738,420.9469909668,62562800,5318033924.5,"2014-04-11"
495.7980041504,498.6010131836,472.7409973145,479.6449890137,19042400,6074116359.88,"2014-04-18"
490.825012207,500.4649963379,482.9519958496,500.4649963379,13009400,6350012524.62,"2014-04-24"
446.8900146484,451.0989990234,436.699005127,447.6449890137,15244900,5690810164.88,"2014-04-30"
429.341003418,446.1279907227,428.4509887695,438.8210144043,18332200,5590798950.5,"2014-05-07"
441.5310058594,441.9760131836,436.967010498,440.6709899902,7682670,5625308533.07,"2014-05-13"
446.3049926758,491.4440002441,446.0069885254,485.7239990234,40327500,6214911438.6,"2014-05-20"
571.3930053711,588.3889770508,565.3319702148,583.4240112305,29959800,7479335238.4,"2014-05-26"
629.6450195313,665.4979858398,618.7449951172,660.617980957,45450200,8487587033.1,"2014-06-02"
654.9940185547,658.883972168,653.4699707031,656.1400146484,8614190,8445489606.5,"2014-06-08"
575.9279785156,592.9370117188,554.8909912109,592.9370117188,23580900,7649361649.6,"2014-06-15"
593.6779785156,599.4619750977,587.7369995117,594.9920043945,9256290,7691773954.8,"2014-06-21"
599.0770263672,604.4730224609,595.9180297852,596.5490112305,13398100,7730991679.22,"2014-06-28"
644.6459960938,648.4329833984,629.4030151367,630.6920166016,22237200,8187107455.8,"2014-07-04"
624.8259887695,626.116027832,612.3460083008,616.7620239258,15880700,8020234276.55,"2014-07-10"
616.5390014648,626.2899780273,608.3989868164,623.0889892578,16576700,8119394872.88,"2014-07-17"
621.1229858398,624.4310302734,618.2930297852,619.4149780273,11056600,8086153117.5,"2014-07-23"
584.7420043945,585.1220092773,564.8959960938,567.2930297852,14898800,7420859009.27,"2014-07-30"
589.0109863281,589.8649902344,584.1019897461,585.4359741211,10790800,7671275261.9,"2014-08-05"
576.5120239258,576.9479980469,566.5949707031,569.6420288086,13978200,7481336242.8,"2014-08-12"
491.5069885254,499.3699951172,443.8510131836,461.4599914551,50783800,6072259848,"2014-08-18"
508.2200012207,508.2200012207,499.233001709,502.4960021973,18356700,6626339377.6,"2014-08-25"
502.9049987793,504.8789978027,474.8139953613,477.7630004883,44632300,6312801959.75,"2014-08-31"
485.1289978027,488.0660095215,482.2780151367,482.2780151367,8994050,6385589802.05,"2014-09-07"
477.7929992676,482.1170043945,475.0979919434,479.0020141602,15588000,6353614253.55,"2014-09-13"
424.1029968262,427.8349914551,384.5320129395,394.7959899902,37919700,5246779620.6,"2014-09-19"
411.4289855957,414.9379882813,400.0090026855,404.424987793,21460800,5386071486.25,"2014-09-26"
383.9880065918,385.4970092773,372.9460144043,375.0719909668,21777700,5003085408,"2014-10-02"
352.7479858398,382.7260131836,347.6870117188,365.0260009766,83641104,4878718500.4,"2014-10-09"
400.9549865723,402.2269897461,388.7659912109,394.7730102539,25267100,5285043276.15,"2014-10-15"
386.1180114746,388.5759887695,382.2489929199,383.157989502,11641300,5139461096.15,"2014-10-22"
353.2149963379,359.9840087891,352.6789855957,357.6180114746,7845880,4804812400.8,"2014-10-28"
327.1610107422,331.766998291,325.0769958496,330.4920043945,15655500,4449934320.9,"2014-11-04"
362.2650146484,374.8160095215,357.5610046387,366.9240112305,30450100,4948658122.5,"2014-11-10"
388.3489990234,410.199005127,377.5020141602,387.407989502,41518800,5234695636.8,"2014-11-17"
353.174987793,370.8450012207,353.174987793,367.5729980469,15151600,4974540006.18,"2014-11-23"
376.1520080566,387.6010131836,372.1449890137,375.4909973145,15375600,5089799279.55,"2014-11-29"
376.7569885254,378.4479980469,370.9450073242,374.7850036621,7009320,5089542821.5,"2014-12-06"
350.8330078125,352.983001709,349.2909851074,352.5419921875,16989800,4795055945.25,"2014-12-12"
311.1789855957,318.532989502,306.7690124512,317.8429870605,23823100,4330801580.8,"2014-12-19"
322.2860107422,322.6700134277,316.9580078125,319.0079956055,9883640,4353789283.2,"2014-12-25"
320.4349975586,320.4349975586,314.0029907227,314.2489929199,8036550,4297535768.18,"2015-01-01"
286.0769958496,298.7539978027,283.0790100098,294.3370056152,24866800,4032255014.65,"2015-01-07"
223.8939971924,223.8939971924,171.5099945068,178.1029968262,97638704,2444379076.08,"2015-01-14"
212.9069976807,215.2409973145,205.1529998779,211.3150024414,24051100,2904651464,"2015-01-20"
273.1669921875,275.4800109863,250.6529998779,263.4750061035,44399000,3627760927.5,"2015-01-27"
226.4909973145,242.1750030518,222.658996582,238.2290039063,30612100,3285797305.4,"2015-02-02"
227.6929931641,229.43800354,221.0769958496,223.4120025635,17145200,3086537315.4,"2015-02-08"
257.5069885254,265.6109924316,227.6840057373,234.8249969482,56552400,3250242178.12,"2015-02-15"
243.7519989014,255.3200073242,243.1840057373,244.533996582,12284200,3390372209.75,"2015-02-21"
253.5200042725,254.6920013428,249.4790039063,254.2630004883,13949300,3531776635.75,"2015-02-28"
275.6000061035,277.608001709,270.0150146484,272.7229919434,28918900,3794156466.38,"2015-03-06"
294.1180114746,294.4979858398,285.3370056152,285.3370056152,31421500,3976948638.32,"2015-03-13"
255.8800048828,264.2439880371,248.6360015869,260.9280090332,52732000,3642156964.8,"2015-03-19"
246.2760009766,254.3540039063,244.9049987793,248.5319976807,25730000,3475701380.1,"2015-03-26"
244.2230072021,247.5410003662,241.1600036621,247.2720031738,22877200,3463619267.4,"2015-04-01"
253.0639953613,253.8470001221,244.2149963379,245.0220031738,30086400,3438326344.95,"2015-04-08"
224.7590026855,224.9759979248,216.3229980469,219.158996582,31719000,3080098938.82,"2015-04-14"
222.6119995117,226.3509979248,221.9770050049,224.6260070801,18364700,3161599718.7,"2015-04-20"
219.4290008545,233.3049926758,218.0229949951,229.2859954834,38574000,3232938332.15,"2015-04-27"
234.8800048828,243.2400054932,234.0829925537,240.358001709,18494100,3394161416.45,"2015-05-03"
